date,year,month,month_name,day,day_of_week,week_of_year,quarter
1997-01-01,1997,1,January,1,2,1,Q-1
1997-01-02,1997,1,January,2,3,1,Q-1
1997-01-03,1997,1,January,3,4,1,Q-1
1997-01-04,1997,1,January,4,5,1,Q-1
1997-01-05,1997,1,January,5,6,1,Q-1
1997-01-06,1997,1,January,6,0,2,Q-1
1997-01-07,1997,1,January,7,1,2,Q-1
1997-01-08,1997,1,January,8,2,2,Q-1
1997-01-09,1997,1,January,9,3,2,Q-1
1997-01-10,1997,1,January,10,4,2,Q-1
1997-01-11,1997,1,January,11,5,2,Q-1
1997-01-12,1997,1,January,12,6,2,Q-1
1997-01-13,1997,1,January,13,0,3,Q-1
1997-01-14,1997,1,January,14,1,3,Q-1
1997-01-15,1997,1,January,15,2,3,Q-1
1997-01-16,1997,1,January,16,3,3,Q-1
1997-01-17,1997,1,January,17,4,3,Q-1
1997-01-18,1997,1,January,18,5,3,Q-1
1997-01-19,1997,1,January,19,6,3,Q-1
1997-01-20,1997,1,January,20,0,4,Q-1
1997-01-21,1997,1,January,21,1,4,Q-1
1997-01-22,1997,1,January,22,2,4,Q-1
1997-01-23,1997,1,January,23,3,4,Q-1
1997-01-24,1997,1,January,24,4,4,Q-1
1997-01-25,1997,1,January,25,5,4,Q-1
1997-01-26,1997,1,January,26,6,4,Q-1
1997-01-27,1997,1,January,27,0,5,Q-1
1997-01-28,1997,1,January,28,1,5,Q-1
1997-01-29,1997,1,January,29,2,5,Q-1
1997-01-30,1997,1,January,30,3,5,Q-1
1997-01-31,1997,1,January,31,4,5,Q-1
1997-02-01,1997,2,February,1,5,5,Q-1
1997-02-02,1997,2,February,2,6,5,Q-1
1997-02-03,1997,2,February,3,0,6,Q-1
1997-02-04,1997,2,February,4,1,6,Q-1
1997-02-05,1997,2,February,5,2,6,Q-1
1997-02-06,1997,2,February,6,3,6,Q-1
1997-02-07,1997,2,February,7,4,6,Q-1
1997-02-08,1997,2,February,8,5,6,Q-1
1997-02-09,1997,2,February,9,6,6,Q-1
1997-02-10,1997,2,February,10,0,7,Q-1
1997-02-11,1997,2,February,11,1,7,Q-1
1997-02-12,1997,2,February,12,2,7,Q-1
1997-02-13,1997,2,February,13,3,7,Q-1
1997-02-14,1997,2,February,14,4,7,Q-1
1997-02-15,1997,2,February,15,5,7,Q-1
1997-02-16,1997,2,February,16,6,7,Q-1
1997-02-17,1997,2,February,17,0,8,Q-1
1997-02-18,1997,2,February,18,1,8,Q-1
1997-02-19,1997,2,February,19,2,8,Q-1
1997-02-20,1997,2,February,20,3,8,Q-1
1997-02-21,1997,2,February,21,4,8,Q-1
1997-02-22,1997,2,February,22,5,8,Q-1
1997-02-23,1997,2,February,23,6,8,Q-1
1997-02-24,1997,2,February,24,0,9,Q-1
1997-02-25,1997,2,February,25,1,9,Q-1
1997-02-26,1997,2,February,26,2,9,Q-1
1997-02-27,1997,2,February,27,3,9,Q-1
1997-02-28,1997,2,February,28,4,9,Q-1
1997-03-01,1997,3,March,1,5,9,Q-1
1997-03-02,1997,3,March,2,6,9,Q-1
1997-03-03,1997,3,March,3,0,10,Q-1
1997-03-04,1997,3,March,4,1,10,Q-1
1997-03-05,1997,3,March,5,2,10,Q-1
1997-03-06,1997,3,March,6,3,10,Q-1
1997-03-07,1997,3,March,7,4,10,Q-1
1997-03-08,1997,3,March,8,5,10,Q-1
1997-03-09,1997,3,March,9,6,10,Q-1
1997-03-10,1997,3,March,10,0,11,Q-1
1997-03-11,1997,3,March,11,1,11,Q-1
1997-03-12,1997,3,March,12,2,11,Q-1
1997-03-13,1997,3,March,13,3,11,Q-1
1997-03-14,1997,3,March,14,4,11,Q-1
1997-03-15,1997,3,March,15,5,11,Q-1
1997-03-16,1997,3,March,16,6,11,Q-1
1997-03-17,1997,3,March,17,0,12,Q-1
1997-03-18,1997,3,March,18,1,12,Q-1
1997-03-19,1997,3,March,19,2,12,Q-1
1997-03-20,1997,3,March,20,3,12,Q-1
1997-03-21,1997,3,March,21,4,12,Q-1
1997-03-22,1997,3,March,22,5,12,Q-1
1997-03-23,1997,3,March,23,6,12,Q-1
1997-03-24,1997,3,March,24,0,13,Q-1
1997-03-25,1997,3,March,25,1,13,Q-1
1997-03-26,1997,3,March,26,2,13,Q-1
1997-03-27,1997,3,March,27,3,13,Q-1
1997-03-28,1997,3,March,28,4,13,Q-1
1997-03-29,1997,3,March,29,5,13,Q-1
1997-03-30,1997,3,March,30,6,13,Q-1
1997-03-31,1997,3,March,31,0,14,Q-1
1997-04-01,1997,4,April,1,1,14,Q-2
1997-04-02,1997,4,April,2,2,14,Q-2
1997-04-03,1997,4,April,3,3,14,Q-2
1997-04-04,1997,4,April,4,4,14,Q-2
1997-04-05,1997,4,April,5,5,14,Q-2
1997-04-06,1997,4,April,6,6,14,Q-2
1997-04-07,1997,4,April,7,0,15,Q-2
1997-04-08,1997,4,April,8,1,15,Q-2
1997-04-09,1997,4,April,9,2,15,Q-2
1997-04-10,1997,4,April,10,3,15,Q-2
1997-04-11,1997,4,April,11,4,15,Q-2
1997-04-12,1997,4,April,12,5,15,Q-2
1997-04-13,1997,4,April,13,6,15,Q-2
1997-04-14,1997,4,April,14,0,16,Q-2
1997-04-15,1997,4,April,15,1,16,Q-2
1997-04-16,1997,4,April,16,2,16,Q-2
1997-04-17,1997,4,April,17,3,16,Q-2
1997-04-18,1997,4,April,18,4,16,Q-2
1997-04-19,1997,4,April,19,5,16,Q-2
1997-04-20,1997,4,April,20,6,16,Q-2
1997-04-21,1997,4,April,21,0,17,Q-2
1997-04-22,1997,4,April,22,1,17,Q-2
1997-04-23,1997,4,April,23,2,17,Q-2
1997-04-24,1997,4,April,24,3,17,Q-2
1997-04-25,1997,4,April,25,4,17,Q-2
1997-04-26,1997,4,April,26,5,17,Q-2
1997-04-27,1997,4,April,27,6,17,Q-2
1997-04-28,1997,4,April,28,0,18,Q-2
1997-04-29,1997,4,April,29,1,18,Q-2
1997-04-30,1997,4,April,30,2,18,Q-2
1997-05-01,1997,5,May,1,3,18,Q-2
1997-05-02,1997,5,May,2,4,18,Q-2
1997-05-03,1997,5,May,3,5,18,Q-2
1997-05-04,1997,5,May,4,6,18,Q-2
1997-05-05,1997,5,May,5,0,19,Q-2
1997-05-06,1997,5,May,6,1,19,Q-2
1997-05-07,1997,5,May,7,2,19,Q-2
1997-05-08,1997,5,May,8,3,19,Q-2
1997-05-09,1997,5,May,9,4,19,Q-2
1997-05-10,1997,5,May,10,5,19,Q-2
1997-05-11,1997,5,May,11,6,19,Q-2
1997-05-12,1997,5,May,12,0,20,Q-2
1997-05-13,1997,5,May,13,1,20,Q-2
1997-05-14,1997,5,May,14,2,20,Q-2
1997-05-15,1997,5,May,15,3,20,Q-2
1997-05-16,1997,5,May,16,4,20,Q-2
1997-05-17,1997,5,May,17,5,20,Q-2
1997-05-18,1997,5,May,18,6,20,Q-2
1997-05-19,1997,5,May,19,0,21,Q-2
1997-05-20,1997,5,May,20,1,21,Q-2
1997-05-21,1997,5,May,21,2,21,Q-2
1997-05-22,1997,5,May,22,3,21,Q-2
1997-05-23,1997,5,May,23,4,21,Q-2
1997-05-24,1997,5,May,24,5,21,Q-2
1997-05-25,1997,5,May,25,6,21,Q-2
1997-05-26,1997,5,May,26,0,22,Q-2
1997-05-27,1997,5,May,27,1,22,Q-2
1997-05-28,1997,5,May,28,2,22,Q-2
1997-05-29,1997,5,May,29,3,22,Q-2
1997-05-30,1997,5,May,30,4,22,Q-2
1997-05-31,1997,5,May,31,5,22,Q-2
1997-06-01,1997,6,June,1,6,22,Q-2
1997-06-02,1997,6,June,2,0,23,Q-2
1997-06-03,1997,6,June,3,1,23,Q-2
1997-06-04,1997,6,June,4,2,23,Q-2
1997-06-05,1997,6,June,5,3,23,Q-2
1997-06-06,1997,6,June,6,4,23,Q-2
1997-06-07,1997,6,June,7,5,23,Q-2
1997-06-08,1997,6,June,8,6,23,Q-2
1997-06-09,1997,6,June,9,0,24,Q-2
